false,false,16,16,256,1,150.76134479119554,1000.0
482.0,2323.806
4551.385892116183,5595.0
10175.0,9167.0
14599.0,482.0,2180.6991701244815,5327.0,8823.0
false,false,16,16,256,3,149.03129657228018,1000.0
504.0,2373.531
4552.563492063492,5735.0
9807.0,10591.0
15887.0,504.0,2078.597222222222,4391.0,9591.0
false,false,16,16,256,5,152.114390021296,1000.0
497.0,2178.995
4427.154929577465,5155.0
9247.0,7875.0
11927.0,497.0,2209.1971830985917,5499.0,8087.0
false,false,16,16,256,7,146.19883040935673,1000.0
512.0,2339.874
4711.822265625,5319.0
10727.0,10015.0
14983.0,512.0,2359.33203125,6331.0,10823.0
false,false,16,16,384,1,145.83637159107482,1000.0
476.0,2480.867
4617.93487394958,6579.0
10735.0,10415.0
16543.0,476.0,2239.3991596638657,5115.0,11111.0
false,false,16,16,384,3,151.03458692040476,1000.0
520.0,2169.916
4500.626923076923,5287.0
9967.0,8303.0
15495.0,520.0,2239.269230769231,5399.0,10159.0
false,false,16,16,384,5,145.7301078402798,1000.0
506.0,2420.241
4716.48814229249,5655.0
9951.0,10751.0
17615.0,506.0,2256.675889328063,5199.0,10127.0
false,false,16,16,384,7,145.70887367040652,1000.0
507.0,2388.161
4905.262327416173,5363.0
10911.0,9287.0
17343.0,507.0,2420.9723865877713,6111.0,10135.0
false,false,16,16,512,1,151.74506828528072,1000.0
508.0,2231.197
4475.064960629921,5219.0
9791.0,8863.0
14455.0,508.0,2166.285433070866,5155.0,8935.0
false,false,16,16,512,3,148.41199168892845,1000.0
519.0,2358.512
4463.6551059730255,5719.0
9391.0,10415.0
14855.0,519.0,2121.6782273603085,5103.0,7607.0
false,false,16,16,512,5,148.06040864672786,1000.0
499.0,2415.899
4689.833667334669,5779.0
9647.0,11895.0
18639.0,499.0,2129.8036072144287,4643.0,7971.0
false,false,16,16,512,7,149.43215780035862,1000.0
515.0,2278.124
4342.7242718446605,5539.0
8607.0,9527.0
14351.0,515.0,2130.231067961165,4519.0,8063.0
false,false,16,16,640,1,144.3418013856813,1000.0
496.0,2512.385
4797.822580645161,5727.0
9839.0,9863.0
18719.0,496.0,2334.7399193548385,5651.0,9223.0
false,false,16,16,640,3,149.0979573579842,1000.0
488.0,2359.205
4695.877049180328,5603.0
10079.0,9143.0
15311.0,488.0,2119.6065573770493,4835.0,9127.0
false,false,16,16,640,5,149.40983116689077,1000.0
498.0,2274.357
4614.365461847389,5219.0
9479.0,8471.0
14167.0,498.0,2338.3132530120483,5095.0,10519.0
false,false,16,16,640,7,143.2870038687491,1000.0
506.0,2495.656
4869.590909090909,5655.0
10735.0,11175.0
15543.0,506.0,2362.1521739130435,5391.0,10215.0
false,false,16,24,256,1,148.6767766874814,1000.0
503.0,2323.906
4865.119284294235,5787.0
11631.0,8639.0
15095.0,503.0,2363.0854870775347,6243.0,11967.0
false,false,16,24,256,3,144.07145944388418,1000.0
485.0,2520.063
4811.352577319588,6095.0
10279.0,11263.0
15247.0,485.0,2351.538144329897,5851.0,8255.0
false,false,16,24,256,5,144.02995823131212,1000.0
510.0,2464.038
4775.829411764706,5975.0
10423.0,9295.0
14991.0,510.0,2323.4960784313726,5619.0,9511.0
false,false,16,24,256,7,147.5796930342385,1000.0
523.0,2312.631
4667.051625239006,5219.0
10287.0,9583.0
15079.0,523.0,2260.2543021032507,5655.0,9143.0
false,false,16,24,384,1,147.08045300779526,1000.0
504.0,2438.691
4485.642857142857,6027.0
9751.0,11831.0
15999.0,504.0,2187.1071428571427,5219.0,9095.0
false,false,16,24,384,3,142.9592566118656,1000.0
497.0,2545.226
5003.058350100604,6351.0
11383.0,9983.0
16879.0,497.0,2385.334004024145,5187.0,9399.0
false,false,16,24,384,5,143.78145219266713,1000.0
500.0,2529.197
4775.87,6151.0
10375.0,11639.0
15023.0,500.0,2277.632,5103.0,8231.0
false,false,16,24,384,7,149.97000599880025,1000.0
468.0,2305.278
4753.690170940171,5215.0
10047.0,8303.0
14695.0,468.0,2325.525641025641,5467.0,8615.0
false,false,16,24,512,1,144.7178002894356,1000.0
508.0,2457.321
4915.330708661418,6371.0
11151.0,9167.0
17039.0,508.0,2335.167322834646,5683.0,10239.0
false,false,16,24,512,3,145.18002322880372,1000.0
523.0,2444.897
4708.265774378585,5575.0
10279.0,9183.0
16415.0,523.0,2259.4474187380497,5203.0,8999.0
false,false,16,24,512,5,150.92061575611228,1000.0
511.0,2242.85
4482.630136986301,5467.0
9167.0,8167.0
12351.0,511.0,2154.743639921722,4695.0,7283.0
false,false,16,24,512,7,148.87598630340926,1000.0
505.0,2323.323
4702.467326732673,5535.0
10151.0,9311.0
17183.0,505.0,2243.920792079208,5263.0,8719.0
false,false,16,24,640,1,149.23145799134457,1000.0
500.0,2287.149
4517.326,5603.0
9759.0,9503.0
14151.0,500.0,2221.242,5527.0,9239.0
false,false,16,24,640,3,150.28554253080853,1000.0
489.0,2354.522
4515.572597137014,5503.0
9047.0,10559.0
15279.0,489.0,2125.9406952965237,4379.0,7323.0
false,false,16,24,640,5,144.48779078167894,1000.0
528.0,2424.877
4844.835227272727,6187.0
11295.0,9647.0
16199.0,528.0,2325.030303030303,5663.0,11743.0
false,false,16,24,640,7,148.89815366289457,1000.0
493.0,2319.119
4551.823529411765,5383.0
10159.0,9543.0
15159.0,493.0,2189.7200811359025,5283.0,10583.0
false,false,16,32,256,1,150.26296018031556,1000.0
465.0,2255.659
4725.608602150538,5415.0
10567.0,7967.0
17167.0,465.0,2388.595698924731,5835.0,10135.0
false,false,16,32,256,3,147.42739200943535,1000.0
498.0,2345.794
4706.385542168675,5471.0
10591.0,9111.0
15279.0,498.0,2319.877510040161,5575.0,9575.0
false,false,16,32,256,5,149.7678598172832,1000.0
505.0,2300.917
4584.629702970297,5159.0
9535.0,9415.0
18015.0,505.0,2214.158415841584,5103.0,9263.0
false,false,16,32,256,7,147.81966001478196,1000.0
538.0,2310.125
4563.89219330855,5363.0
9927.0,9839.0
14247.0,538.0,2220.150557620818,5483.0,10655.0
false,false,16,32,384,1,146.00671630895022,1000.0
514.0,2363.388
4843.103112840467,5831.0
11111.0,7595.0
15279.0,514.0,2375.486381322957,6083.0,10871.0
false,false,16,32,384,3,150.64778547755347,1000.0
487.0,2375.769
4339.817248459959,6451.0
10271.0,9703.0
13327.0,487.0,2058.917864476386,5027.0,9399.0
false,false,16,32,384,5,152.5320317266626,1000.0
514.0,2156.851
4316.066147859922,5035.0
9279.0,7971.0
13975.0,514.0,2150.241245136187,5039.0,8927.0
false,false,16,32,384,7,151.08022359873092,1000.0
487.0,2330.397
4345.81930184805,5315.0
9215.0,9407.0
13639.0,487.0,2097.94250513347,4783.0,8215.0
false,false,16,32,512,1,145.47570555717195,1000.0
513.0,2384.858
4699.461988304093,5667.0
10631.0,9535.0
13927.0,513.0,2257.9863547758287,5691.0,8679.0
false,false,16,32,512,3,148.6988847583643,1000.0
498.0,2353.004
4656.951807228916,5587.0
11015.0,10319.0
15263.0,498.0,2239.512048192771,5599.0,8415.0
false,false,16,32,512,5,147.5361463558572,1000.0
511.0,2421.741
4679.614481409002,6219.0
10191.0,9351.0
15391.0,511.0,2189.538160469667,4867.0,9295.0
false,false,16,32,512,7,144.55044810638913,1000.0
542.0,2410.04
4597.10147601476,6167.0
10623.0,9215.0
14639.0,542.0,2188.787822878229,5195.0,9599.0
false,false,16,32,640,1,152.7417137620284,1000.0
489.0,2182.548
4284.7791411042945,5223.0
8943.0,8559.0
14271.0,489.0,2139.689161554192,5163.0,7591.0
false,false,16,32,640,3,149.79029358897543,1000.0
506.0,2308.055
4582.703557312253,5523.0
10079.0,9999.0
14567.0,506.0,2144.618577075099,5219.0,7867.0
false,false,16,32,640,5,142.6126640045636,1000.0
493.0,2544.478
5083.62677484787,6179.0
12487.0,10079.0
19263.0,493.0,2433.4563894523326,6451.0,11327.0
false,false,16,32,640,7,149.678191887442,1000.0
479.0,2302.639
4568.711899791232,5539.0
10039.0,9855.0
15351.0,479.0,2211.951983298539,4987.0,8975.0
